address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
2653 S 2ND ST,0.04,0.05,0.08,0.13,0.19,0.22,0.3,0.4,0.5,0.61,0.23,0.25,0.28,0.32,0.35,Whitman,-75.151325293871,39.9144364267077,"c(-75.151325293871, 39.9144364267077)"
144 GLADSTONE ST,0.03,0.05,0.07,0.11,0.16,0.14,0.19,0.27,0.36,0.46,0.23,0.25,0.28,0.31,0.35,Whitman,-75.1505201196693,39.9174968483491,"c(-75.1505201196693, 39.9174968483491)"
2513 S HANCOCK ST,0.03,0.05,0.08,0.12,0.17,0.21,0.29,0.38,0.48,0.59,0.36,0.4,0.43,0.47,0.51,Whitman,-75.1504444356008,39.9160948126721,"c(-75.1504444356008, 39.9160948126721)"
107 DURFOR ST,0.02,0.03,0.04,0.06,0.09,0.18,0.25,0.33,0.43,0.53,0.2,0.22,0.25,0.28,0.31,Whitman,-75.1492525481796,39.918857536951,"c(-75.1492525481796, 39.918857536951)"
2605 S 2ND ST,0.02,0.04,0.06,0.09,0.13,0.17,0.24,0.32,0.42,0.52,0.2,0.22,0.25,0.28,0.31,Whitman,-75.1511253542506,39.9153807126796,"c(-75.1511253542506, 39.9153807126796)"
109 RITNER ST,0.03,0.04,0.06,0.1,0.14,0.2,0.27,0.37,0.47,0.57,0.5,0.53,0.57,0.61,0.64,Whitman,-75.1494542528039,39.9180930120675,"c(-75.1494542528039, 39.9180930120675)"
108 JACKSON ST,0.01,0.02,0.04,0.05,0.08,0.19,0.26,0.35,0.45,0.56,0.2,0.22,0.25,0.28,0.31,Whitman,-75.1489903519227,39.9202526413255,"c(-75.1489903519227, 39.9202526413255)"
408 FITZGERALD ST,0.02,0.04,0.06,0.09,0.13,0.18,0.24,0.33,0.43,0.53,0.2,0.22,0.25,0.28,0.31,Whitman,-75.1545254425481,39.9189332520447,"c(-75.1545254425481, 39.9189332520447)"
2538 S AMERICAN ST,0.02,0.04,0.06,0.09,0.14,0.17,0.24,0.32,0.42,0.52,0.2,0.22,0.25,0.28,0.31,Whitman,-75.1523803668322,39.9161693194051,"c(-75.1523803668322, 39.9161693194051)"
2616 SAINT CHRISTOPHER DR,0.04,0.06,0.08,0.13,0.19,0.23,0.31,0.41,0.51,0.61,0.36,0.4,0.43,0.47,0.51,Whitman,-75.1524979592563,39.9151811514265,"c(-75.1524979592563, 39.9151811514265)"
104 DALY ST,0.01,0.02,0.03,0.05,0.08,0.16,0.22,0.3,0.4,0.5,0.2,0.22,0.25,0.28,0.31,Whitman,-75.14906024946,39.9194779223301,"c(-75.14906024946, 39.9194779223301)"
320 TREE ST,0.02,0.02,0.04,0.06,0.09,0.2,0.27,0.36,0.46,0.56,0.2,0.22,0.25,0.28,0.31,Whitman,-75.1524158655906,39.9203314396569,"c(-75.1524158655906, 39.9203314396569)"
353 WINTON ST,0.02,0.03,0.04,0.07,0.1,0.2,0.28,0.37,0.47,0.58,0.3,0.33,0.37,0.4,0.44,Whitman,-75.1527409511688,39.9214727142583,"c(-75.1527409511688, 39.9214727142583)"
241 DALY ST,0.01,0.02,0.04,0.06,0.09,0.29,0.38,0.49,0.59,0.69,0.33,0.36,0.4,0.43,0.47,Whitman,-75.1514563183119,39.920027845636,"c(-75.1514563183119, 39.920027845636)"
210 DALY ST,0.02,0.03,0.05,0.08,0.12,0.17,0.24,0.33,0.42,0.53,0.34,0.37,0.41,0.44,0.48,Whitman,-75.1507657401874,39.9197087444621,"c(-75.1507657401874, 39.9197087444621)"
349 CANTRELL ST,0.03,0.04,0.07,0.1,0.15,0.22,0.3,0.4,0.5,0.61,0.36,0.4,0.43,0.47,0.51,Whitman,-75.152773327364,39.9218726517768,"c(-75.152773327364, 39.9218726517768)"
411 WINTON ST,0.03,0.05,0.07,0.11,0.16,0.16,0.22,0.31,0.4,0.5,0.34,0.37,0.41,0.44,0.48,Whitman,-75.1539775200454,39.9216246222223,"c(-75.1539775200454, 39.9216246222223)"
2555 S REESE ST,0.02,0.03,0.04,0.07,0.1,0.19,0.26,0.35,0.45,0.55,0.3,0.33,0.37,0.41,0.44,Whitman,-75.1567755865862,39.9164150624988,"c(-75.1567755865862, 39.9164150624988)"
2422 S LEE ST,0.02,0.03,0.04,0.07,0.1,0.16,0.22,0.3,0.4,0.5,0.3,0.33,0.37,0.4,0.44,Whitman,-75.1488617988487,39.9173106639079,"c(-75.1488617988487, 39.9173106639079)"
518 WINTON ST,0.02,0.03,0.05,0.08,0.12,0.25,0.34,0.44,0.54,0.64,0.46,0.49,0.53,0.57,0.61,Whitman,-75.1558213305579,39.921638454015,"c(-75.1558213305579, 39.921638454015)"
362 WINTON ST,0.02,0.03,0.04,0.07,0.1,0.26,0.35,0.45,0.55,0.65,0.46,0.49,0.53,0.57,0.61,Whitman,-75.1530369779775,39.9212935514828,"c(-75.1530369779775, 39.9212935514828)"
2513 S AMERICAN ST,0.04,0.05,0.08,0.13,0.19,0.11,0.15,0.22,0.29,0.39,0.34,0.37,0.41,0.44,0.48,Whitman,-75.151961454296,39.916629990876,"c(-75.151961454296, 39.916629990876)"
2541 S 2ND ST,0.02,0.04,0.05,0.08,0.13,0.17,0.23,0.32,0.42,0.52,0.2,0.22,0.25,0.28,0.31,Whitman,-75.1509881541291,39.915948300103,"c(-75.1509881541291, 39.915948300103)"
322 SNYDER AVE,0.03,0.04,0.06,0.1,0.15,0.15,0.21,0.29,0.38,0.48,0.22,0.25,0.28,0.31,0.35,Whitman,-75.1518456549631,39.9218838477074,"c(-75.1518456549631, 39.9218838477074)"
364 DURFOR ST,0.06,0.09,0.13,0.2,0.28,0.18,0.26,0.34,0.44,0.55,0.34,0.37,0.41,0.44,0.48,Whitman,-75.1538888762636,39.919226300018,"c(-75.1538888762636, 39.919226300018)"
424 FITZGERALD ST,0.02,0.03,0.05,0.08,0.12,0.27,0.36,0.46,0.57,0.66,0.33,0.36,0.4,0.43,0.47,Whitman,-75.1549232069801,39.9189852502637,"c(-75.1549232069801, 39.9189852502637)"
