"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","2829 WINCHESTER AVE",0.03,0.05,0.07,0.11,0.16,0.08,0.12,0.18,0.25,0.33,0.08,0.12,0.18,0.25,0.33,"Winchester Park","-75.0357341555232","40.0545444740975",c(-75.0357341555232, 40.0545444740975)
"2","8127 WINTHROP ST",0.02,0.03,0.05,0.08,0.12,0.15,0.22,0.3,0.39,0.5,0.15,0.22,0.3,0.39,0.5,"Winchester Park","-75.0284454110808","40.0516969240722",c(-75.0284454110808, 40.0516969240722)
"3","8217 COLFAX ST",0.01,0.02,0.03,0.05,0.08,0.2,0.28,0.37,0.48,0.58,0.2,0.28,0.37,0.48,0.58,"Winchester Park","-75.0258438817438","40.0547440376948",c(-75.0258438817438, 40.0547440376948)
"4","8231 WILSON ST",0.02,0.03,0.05,0.08,0.12,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Winchester Park","-75.0243088471545","40.0523205049586",c(-75.0243088471545, 40.0523205049586)
"5","3146 STANWOOD ST",0.02,0.03,0.05,0.08,0.12,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Winchester Park","-75.0264789496403","40.0521277222147",c(-75.0264789496403, 40.0521277222147)
"6","2820 CHELFIELD ST",0.02,0.03,0.05,0.07,0.11,0.2,0.27,0.36,0.47,0.57,0.2,0.27,0.36,0.47,0.57,"Winchester Park","-75.0343894113885","40.0535936946901",c(-75.0343894113885, 40.0535936946901)
"7","8202 COLFAX ST",0.01,0.02,0.03,0.05,0.08,0.15,0.21,0.29,0.38,0.49,0.15,0.21,0.29,0.38,0.49,"Winchester Park","-75.0268503758038","40.0549891380726",c(-75.0268503758038, 40.0549891380726)
"8","8040 ALBION ST",0.02,0.02,0.04,0.06,0.09,0.15,0.21,0.29,0.38,0.49,0.15,0.21,0.29,0.38,0.49,"Winchester Park","-75.0315463008634","40.0536350775489",c(-75.0315463008634, 40.0536350775489)
"9","3150 STAMFORD ST",0.02,0.02,0.04,0.06,0.09,0.23,0.31,0.41,0.51,0.62,0.23,0.31,0.41,0.51,0.62,"Winchester Park","-75.0316925735121","40.053050243646",c(-75.0316925735121, 40.053050243646)
"10","3104 WELSH RD",0.01,0.02,0.04,0.05,0.08,0.16,0.22,0.3,0.39,0.5,0.16,0.22,0.3,0.39,0.5,"Winchester Park","-75.0282116269611","40.0540257327823",c(-75.0282116269611, 40.0540257327823)
"11","3152 STAMFORD ST",0.02,0.02,0.04,0.06,0.09,0.24,0.33,0.42,0.53,0.63,0.24,0.33,0.42,0.53,0.63,"Winchester Park","-75.0316241967107","40.0529083695398",c(-75.0316241967107, 40.0529083695398)
"12","8228 COLFAX ST",0.02,0.02,0.04,0.06,0.09,0.15,0.21,0.29,0.38,0.49,0.15,0.21,0.29,0.38,0.49,"Winchester Park","-75.0250871133307","40.055147258311",c(-75.0250871133307, 40.055147258311)
"13","8229 WILSON ST",0.02,0.03,0.05,0.08,0.12,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"Winchester Park","-75.0244271236405","40.0523730395279",c(-75.0244271236405, 40.0523730395279)
"14","8237 WINTHROP ST",0.02,0.03,0.05,0.08,0.12,0.14,0.19,0.27,0.36,0.46,0.14,0.19,0.27,0.36,0.46,"Winchester Park","-75.0238310342744","40.0517410397586",c(-75.0238310342744, 40.0517410397586)
"15","2816 HARGRAVE ST",0.02,0.03,0.05,0.07,0.11,0.17,0.24,0.33,0.43,0.53,0.17,0.24,0.33,0.43,0.53,"Winchester Park","-75.0354909853619","40.0542350624141",c(-75.0354909853619, 40.0542350624141)
"16","8238 NARVON ST",0.02,0.02,0.04,0.06,0.09,0.15,0.21,0.29,0.39,0.49,0.15,0.21,0.29,0.39,0.49,"Winchester Park","-75.0243774429613","40.0558246384034",c(-75.0243774429613, 40.0558246384034)
"17","8109 COLFAX ST",0.02,0.02,0.04,0.06,0.09,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"Winchester Park","-75.0309979361911","40.0539769577916",c(-75.0309979361911, 40.0539769577916)
"18","3020 HOLME AVE",0.01,0.02,0.04,0.06,0.09,0.15,0.21,0.28,0.38,0.48,0.15,0.21,0.28,0.38,0.48,"Winchester Park","-75.0266808964617","40.0561308867369",c(-75.0266808964617, 40.0561308867369)
"19","3163 WELSH RD",0.02,0.03,0.05,0.07,0.11,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"Winchester Park","-75.0265629735914","40.051229687234",c(-75.0265629735914, 40.051229687234)
"20","3153 STANWOOD ST",0.03,0.05,0.08,0.12,0.17,0.11,0.16,0.23,0.31,0.41,0.11,0.16,0.23,0.31,0.41,"Winchester Park","-75.0258463185945","40.051906857372",c(-75.0258463185945, 40.051906857372)
"21","3166 STANWOOD ST",0.02,0.03,0.05,0.07,0.11,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Winchester Park","-75.0261686616531","40.0512244275584",c(-75.0261686616531, 40.0512244275584)
"22","8231 NARVON ST",0.02,0.02,0.04,0.06,0.09,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"Winchester Park","-75.0249585261557","40.0553948927565",c(-75.0249585261557, 40.0553948927565)
"23","8216 ALBION ST",0.01,0.02,0.03,0.05,0.08,0.15,0.21,0.29,0.38,0.49,0.15,0.21,0.29,0.38,0.49,"Winchester Park","-75.0256742215172","40.0544803791171",c(-75.0256742215172, 40.0544803791171)
"24","3129 STANWOOD ST",0.02,0.03,0.04,0.06,0.09,0.15,0.21,0.29,0.38,0.49,0.15,0.21,0.29,0.38,0.49,"Winchester Park","-75.0262900683033","40.0532024387382",c(-75.0262900683033, 40.0532024387382)
"25","3154 STANWOOD ST",0.02,0.03,0.05,0.08,0.12,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Winchester Park","-75.026355473465","40.0517632545855",c(-75.026355473465, 40.0517632545855)
"26","3122 WELSH RD",0.02,0.03,0.04,0.07,0.1,0.18,0.25,0.33,0.43,0.54,0.18,0.25,0.33,0.43,0.54,"Winchester Park","-75.0277621069232","40.0527119660206",c(-75.0277621069232, 40.0527119660206)
"27","2814 CHELFIELD ST",0.03,0.04,0.07,0.1,0.15,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"Winchester Park","-75.0346068970127","40.0541094582304",c(-75.0346068970127, 40.0541094582304)
"28","3128 DRAPER ST",0.02,0.03,0.04,0.06,0.1,0.15,0.21,0.29,0.39,0.49,0.15,0.21,0.29,0.39,0.49,"Winchester Park","-75.0258505174084","40.0531097656627",c(-75.0258505174084, 40.0531097656627)
"29","3121 WINCHESTER AVE",0.03,0.05,0.08,0.12,0.18,0.16,0.23,0.31,0.4,0.51,0.16,0.23,0.31,0.4,0.51,"Winchester Park","-75.0288501967699","40.0515023574579",c(-75.0288501967699, 40.0515023574579)
"30","3170 STANWOOD ST",0.02,0.03,0.05,0.07,0.11,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Winchester Park","-75.0261057411964","40.051031612807",c(-75.0261057411964, 40.051031612807)
"31","3158 STANWOOD ST",0.02,0.03,0.05,0.08,0.12,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Winchester Park","-75.0262936175283","40.0515875609245",c(-75.0262936175283, 40.0515875609245)
"32","8022 COLFAX ST",0.02,0.02,0.04,0.06,0.09,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"Winchester Park","-75.0313516403237","40.0544429960971",c(-75.0313516403237, 40.0544429960971)
"33","3130 DRAPER ST",0.02,0.03,0.04,0.07,0.1,0.15,0.21,0.29,0.38,0.49,0.15,0.21,0.29,0.38,0.49,"Winchester Park","-75.0258271521875","40.0529998298134",c(-75.0258271521875, 40.0529998298134)
"34","3110 DRAPER ST",0.01,0.02,0.04,0.06,0.08,0.15,0.21,0.29,0.39,0.49,0.15,0.21,0.29,0.39,0.49,"Winchester Park","-75.025315310829","40.0539891414879",c(-75.025315310829, 40.0539891414879)
"35","3024 STANWOOD ST",0.01,0.02,0.04,0.05,0.08,0.15,0.21,0.29,0.38,0.49,0.15,0.21,0.29,0.38,0.49,"Winchester Park","-75.0273853361969","40.0547942555916",c(-75.0273853361969, 40.0547942555916)
"36","3132 DRAPER ST",0.02,0.03,0.04,0.07,0.1,0.15,0.21,0.29,0.38,0.49,0.15,0.21,0.29,0.38,0.49,"Winchester Park","-75.0257997855739","40.0528921625392",c(-75.0257997855739, 40.0528921625392)
"37","3151 STANWOOD ST",0.02,0.03,0.05,0.08,0.12,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Winchester Park","-75.0258781767716","40.0519981427459",c(-75.0258781767716, 40.0519981427459)
"38","3123 WELSH RD",0.02,0.02,0.04,0.06,0.09,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Winchester Park","-75.0272956453568","40.0533920513768",c(-75.0272956453568, 40.0533920513768)
"39","8022 ALBION ST",0.02,0.03,0.04,0.06,0.1,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"Winchester Park","-75.0332657100766","40.0538384782007",c(-75.0332657100766, 40.0538384782007)
"40","3123 DRAPER ST",0.02,0.02,0.04,0.06,0.09,0.15,0.21,0.29,0.38,0.49,0.15,0.21,0.29,0.38,0.49,"Winchester Park","-75.0249042928648","40.0537508480345",c(-75.0249042928648, 40.0537508480345)
"41","3153 DRAPER ST",0.02,0.03,0.05,0.08,0.12,0.21,0.28,0.37,0.48,0.58,0.21,0.28,0.37,0.48,0.58,"Winchester Park","-75.0249029234714","40.0521700677335",c(-75.0249029234714, 40.0521700677335)
"42","8230 NARVON ST",0.02,0.02,0.04,0.06,0.09,0.15,0.21,0.29,0.38,0.49,0.15,0.21,0.29,0.38,0.49,"Winchester Park","-75.025127953754","40.0558548183437",c(-75.025127953754, 40.0558548183437)
"43","3159 STAMFORD ST",0.02,0.03,0.04,0.06,0.1,0.24,0.32,0.42,0.52,0.63,0.24,0.32,0.42,0.52,0.63,"Winchester Park","-75.0308392375896","40.0524702748588",c(-75.0308392375896, 40.0524702748588)
"44","8007 LENOLA ST",0.02,0.03,0.04,0.06,0.1,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"Winchester Park","-75.0334682309211","40.0557578925175",c(-75.0334682309211, 40.0557578925175)
"45","8235 WINTHROP ST",0.02,0.03,0.05,0.08,0.12,0.14,0.19,0.27,0.36,0.46,0.14,0.19,0.27,0.36,0.46,"Winchester Park","-75.0238942190904","40.0516741111748",c(-75.0238942190904, 40.0516741111748)
"46","2818 HARGRAVE ST",0.02,0.03,0.05,0.07,0.11,0.25,0.33,0.43,0.54,0.64,0.25,0.33,0.43,0.54,0.64,"Winchester Park","-75.0355349307924","40.054047606965",c(-75.0355349307924, 40.054047606965)
"47","8202 WINTHROP ST",0.02,0.03,0.05,0.07,0.11,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"Winchester Park","-75.0255250086277","40.0511533593398",c(-75.0255250086277, 40.0511533593398)
"48","3143 DRAPER ST",0.02,0.03,0.05,0.07,0.11,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Winchester Park","-75.025184755726","40.0527442618405",c(-75.025184755726, 40.0527442618405)
"49","3156 STAMFORD ST",0.02,0.03,0.04,0.06,0.09,0.23,0.31,0.41,0.51,0.62,0.23,0.31,0.41,0.51,0.62,"Winchester Park","-75.0314854930151","40.0526291244543",c(-75.0314854930151, 40.0526291244543)
"50","8227 WILSON ST",0.02,0.03,0.05,0.07,0.11,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"Winchester Park","-75.0245310409769","40.0524397754474",c(-75.0245310409769, 40.0524397754474)
