address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
600 BARNES ST,0.02,0.03,0.05,0.07,0.11,0.17,0.24,0.32,0.42,0.52,0.2,0.22,0.25,0.28,0.31,Wissahickon Park,-75.2027945343798,40.024818146738,"c(-75.2027945343798, 40.024818146738)"
6072 DANIEL ST,0.02,0.03,0.05,0.08,0.12,0.15,0.21,0.29,0.39,0.49,0.2,0.22,0.25,0.28,0.31,Wissahickon Park,-75.1918964074522,40.0317259777402,"c(-75.1918964074522, 40.0317259777402)"
5301 HERMIT LN,0.04,0.06,0.1,0.15,0.21,0.23,0.32,0.41,0.52,0.62,0.33,0.36,0.4,0.43,0.47,Wissahickon Park,-75.2016240861897,40.0251151888316,"c(-75.2016240861897, 40.0251151888316)"
5201 VICARIS ST,0.04,0.06,0.09,0.13,0.2,0.15,0.21,0.29,0.38,0.49,0.2,0.22,0.25,0.28,0.31,Wissahickon Park,-75.2038215775737,40.0202910141439,"c(-75.2038215775737, 40.0202910141439)"
890 WISES MILL RD,0.05,0.07,0.11,0.16,0.23,0.15,0.21,0.29,0.38,0.49,0.2,0.22,0.25,0.28,0.31,Wissahickon Park,-75.2222608280951,40.0572853551485,"c(-75.2222608280951, 40.0572853551485)"
8838 CREFELD ST,0.02,0.03,0.04,0.06,0.1,0.22,0.3,0.39,0.5,0.6,0.2,0.22,0.25,0.28,0.31,Wissahickon Park,-75.2155388538454,40.0767902911346,"c(-75.2155388538454, 40.0767902911346)"
969 CLYDE LN,0.02,0.03,0.05,0.07,0.11,0.23,0.31,0.41,0.51,0.62,0.33,0.36,0.4,0.43,0.47,Wissahickon Park,-75.2292378899703,40.0746363055947,"c(-75.2292378899703, 40.0746363055947)"
800 WISES MILL RD,0.04,0.07,0.1,0.15,0.22,0.14,0.2,0.27,0.37,0.47,0.3,0.34,0.37,0.41,0.44,Wissahickon Park,-75.2244414270151,40.0569898119252,"c(-75.2244414270151, 40.0569898119252)"
5280 HERMIT LN,0.04,0.07,0.1,0.15,0.22,0.16,0.22,0.3,0.39,0.5,0.2,0.22,0.25,0.28,0.31,Wissahickon Park,-75.2002663004224,40.0252455586427,"c(-75.2002663004224, 40.0252455586427)"
610 BARNES ST,0.02,0.03,0.05,0.08,0.12,0.14,0.2,0.27,0.36,0.47,0.2,0.22,0.25,0.28,0.31,Wissahickon Park,-75.2023006019206,40.0251905529893,"c(-75.2023006019206, 40.0251905529893)"
