address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
4617 VAN KIRK ST,0.05,0.08,0.12,0.18,0.26,0.1,0.15,0.21,0.29,0.38,0.23,0.25,0.28,0.32,0.35,Wissinoming,-75.0620491735125,40.016932405214,"c(-75.0620491735125, 40.016932405214)"
4077 HIGBEE ST,0.03,0.04,0.07,0.1,0.15,0.16,0.23,0.31,0.41,0.51,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0638993162268,40.0250184800141,"c(-75.0638993162268, 40.0250184800141)"
4516 HOWELL ST,0.04,0.06,0.09,0.14,0.2,0.14,0.19,0.27,0.36,0.46,0.2,0.22,0.25,0.28,0.31,Wissinoming,-75.0623245166405,40.0184389568235,"c(-75.0623245166405, 40.0184389568235)"
4819 E CHELTENHAM AVE,0.06,0.09,0.14,0.2,0.28,0.11,0.16,0.23,0.31,0.4,0.22,0.25,0.28,0.31,0.35,Wissinoming,-75.0620157476851,40.0142421713165,"c(-75.0620157476851, 40.0142421713165)"
6354 GILLESPIE ST,0.05,0.07,0.11,0.17,0.24,0.11,0.16,0.23,0.31,0.41,0.23,0.25,0.28,0.31,0.35,Wissinoming,-75.0547036012629,40.0240281888825,"c(-75.0547036012629, 40.0240281888825)"
6359 EDMUND ST,0.05,0.08,0.12,0.17,0.25,0.1,0.15,0.21,0.29,0.38,0.23,0.25,0.28,0.31,0.35,Wissinoming,-75.0507421543957,40.0196562159175,"c(-75.0507421543957, 40.0196562159175)"
6316 GILLESPIE ST,0.05,0.08,0.12,0.17,0.25,0.11,0.16,0.23,0.31,0.41,0.34,0.37,0.41,0.44,0.48,Wissinoming,-75.0556074878326,40.0235591842938,"c(-75.0556074878326, 40.0235591842938)"
6343 DITMAN ST,0.07,0.1,0.15,0.22,0.31,0.08,0.12,0.17,0.24,0.33,0.34,0.37,0.41,0.44,0.48,Wissinoming,-75.0535081930023,40.0219488036942,"c(-75.0535081930023, 40.0219488036942)"
4035 HIGBEE ST,0.04,0.07,0.1,0.15,0.22,0.13,0.19,0.26,0.35,0.45,0.34,0.37,0.41,0.44,0.48,Wissinoming,-75.0646497733846,40.0258751514767,"c(-75.0646497733846, 40.0258751514767)"
6036 WALKER ST,0.04,0.05,0.08,0.13,0.18,0.16,0.22,0.31,0.4,0.5,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.061552823254,40.0227188068491,"c(-75.061552823254, 40.0227188068491)"
6130 ALGARD ST,0.05,0.08,0.12,0.18,0.25,0.13,0.19,0.26,0.35,0.45,0.22,0.25,0.28,0.31,0.35,Wissinoming,-75.0601688477841,40.0226601473513,"c(-75.0601688477841, 40.0226601473513)"
6231 WALKER ST,0.05,0.07,0.11,0.16,0.23,0.11,0.16,0.22,0.3,0.4,0.34,0.37,0.41,0.44,0.48,Wissinoming,-75.0582829887702,40.0239567950688,"c(-75.0582829887702, 40.0239567950688)"
6301 TULIP ST,0.03,0.04,0.07,0.1,0.15,0.12,0.18,0.25,0.33,0.43,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0517005110652,40.0184191457056,"c(-75.0517005110652, 40.0184191457056)"
5908-10 TULIP ST,0.04,0.07,0.1,0.15,0.22,0.11,0.16,0.22,0.3,0.4,0.34,0.37,0.41,0.44,0.48,Wissinoming,-75.0587026639493,40.015457703859,"c(-75.0587026639493, 40.015457703859)"
6147 MONTAGUE ST,0.03,0.05,0.07,0.11,0.16,0.17,0.23,0.32,0.41,0.52,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0600223774611,40.0238360681388,"c(-75.0600223774611, 40.0238360681388)"
2117 KENNEDY ST,0.03,0.05,0.08,0.12,0.18,0.12,0.17,0.23,0.32,0.42,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.067434282447,40.0133592638021,"c(-75.067434282447, 40.0133592638021)"
2093 CARVER ST,0.03,0.05,0.08,0.12,0.18,0.11,0.16,0.22,0.3,0.4,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0645735403367,40.0153613538084,"c(-75.0645735403367, 40.0153613538084)"
4410 VAN KIRK ST,0.04,0.07,0.1,0.15,0.22,0.19,0.26,0.35,0.45,0.55,0.5,0.53,0.57,0.61,0.64,Wissinoming,-75.064607126994,40.0190856089471,"c(-75.064607126994, 40.0190856089471)"
5392 CHARLES ST,0.04,0.07,0.1,0.15,0.22,0.11,0.16,0.22,0.3,0.4,0.2,0.22,0.25,0.28,0.31,Wissinoming,-75.0710083270244,40.0211296605593,"c(-75.0710083270244, 40.0211296605593)"
2068 SCATTERGOOD ST,0.04,0.06,0.09,0.13,0.2,0.11,0.15,0.22,0.3,0.39,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0701776194654,40.0140297286933,"c(-75.0701776194654, 40.0140297286933)"
6210 TORRESDALE AVE,0.04,0.06,0.1,0.15,0.21,0.1,0.15,0.21,0.29,0.38,0.2,0.22,0.25,0.28,0.31,Wissinoming,-75.0553727525153,40.0199682486127,"c(-75.0553727525153, 40.0199682486127)"
6021 WALKER ST,0.03,0.05,0.08,0.12,0.17,0.16,0.23,0.31,0.41,0.51,0.2,0.22,0.25,0.28,0.31,Wissinoming,-75.0616654741727,40.0221867692996,"c(-75.0616654741727, 40.0221867692996)"
6250 CHARLES ST,0.04,0.06,0.08,0.13,0.19,0.11,0.16,0.22,0.3,0.4,0.22,0.25,0.28,0.31,0.35,Wissinoming,-75.0601845314227,40.0267584462847,"c(-75.0601845314227, 40.0267584462847)"
6142 ALGARD ST,0.03,0.05,0.08,0.12,0.18,0.16,0.23,0.31,0.41,0.51,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0598603518364,40.0227983278293,"c(-75.0598603518364, 40.0227983278293)"
6219 MULBERRY ST,0.02,0.03,0.05,0.08,0.12,0.14,0.2,0.27,0.36,0.46,0.2,0.22,0.25,0.28,0.31,Wissinoming,-75.0610834710661,40.0266403328033,"c(-75.0610834710661, 40.0266403328033)"
6010 TULIP ST,0.05,0.08,0.12,0.17,0.25,0.11,0.16,0.22,0.31,0.4,0.22,0.25,0.28,0.31,0.35,Wissinoming,-75.0572988942786,40.0159747428739,"c(-75.0572988942786, 40.0159747428739)"
5460 MARSDEN ST,0.03,0.05,0.08,0.12,0.18,0.14,0.19,0.27,0.36,0.46,0.46,0.49,0.53,0.57,0.61,Wissinoming,-75.0656921885727,40.0151597754796,"c(-75.0656921885727, 40.0151597754796)"
2234 SIMON ST,0.05,0.08,0.12,0.18,0.25,0.08,0.12,0.17,0.24,0.32,0.34,0.37,0.41,0.44,0.48,Wissinoming,-75.0654629918897,40.0105292851034,"c(-75.0654629918897, 40.0105292851034)"
5448 HAWTHORNE ST,0.04,0.06,0.1,0.14,0.21,0.19,0.26,0.35,0.45,0.56,0.46,0.49,0.53,0.57,0.61,Wissinoming,-75.0706945344561,40.0226903109808,"c(-75.0706945344561, 40.0226903109808)"
2126 SCATTERGOOD ST,0.03,0.05,0.08,0.13,0.18,0.1,0.14,0.2,0.28,0.37,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0696626059952,40.0126866743793,"c(-75.0696626059952, 40.0126866743793)"
6323 HEGERMAN ST,0.05,0.07,0.11,0.16,0.23,0.08,0.12,0.18,0.24,0.33,0.22,0.25,0.28,0.31,0.35,Wissinoming,-75.0520429988049,40.0197210098831,"c(-75.0520429988049, 40.0197210098831)"
6146 EDMUND ST,0.04,0.06,0.1,0.14,0.21,0.14,0.2,0.27,0.36,0.46,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0553080175072,40.0177154164371,"c(-75.0553080175072, 40.0177154164371)"
6149 MULBERRY ST,0.02,0.04,0.06,0.09,0.13,0.17,0.24,0.32,0.42,0.52,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0621036453309,40.0261244805612,"c(-75.0621036453309, 40.0261244805612)"
5434 HAWTHORNE ST,0.04,0.06,0.09,0.14,0.21,0.19,0.26,0.35,0.45,0.56,0.46,0.49,0.53,0.57,0.61,Wissinoming,-75.0711070404984,40.0224766405208,"c(-75.0711070404984, 40.0224766405208)"
2079 SCATTERGOOD ST,0.04,0.06,0.08,0.13,0.19,0.11,0.16,0.22,0.3,0.39,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0697456272642,40.0139192085964,"c(-75.0697456272642, 40.0139192085964)"
5804 COTTAGE ST,0.04,0.07,0.1,0.15,0.22,0.13,0.19,0.27,0.35,0.45,0.22,0.25,0.28,0.31,0.35,Wissinoming,-75.0644644552682,40.0196761056568,"c(-75.0644644552682, 40.0196761056568)"
4619 DEVEREAUX AVE,0.06,0.1,0.15,0.21,0.3,0.08,0.12,0.17,0.24,0.32,0.23,0.25,0.28,0.31,0.35,Wissinoming,-75.0558329743637,40.020065095016,"c(-75.0558329743637, 40.020065095016)"
5445 MARSDEN ST,0.05,0.08,0.12,0.17,0.25,0.09,0.13,0.19,0.26,0.34,0.34,0.37,0.41,0.44,0.48,Wissinoming,-75.0657757769544,40.0147770720038,"c(-75.0657757769544, 40.0147770720038)"
6114 TORRESDALE AVE,0.05,0.08,0.12,0.18,0.26,0.19,0.26,0.35,0.45,0.55,0.34,0.37,0.41,0.44,0.48,Wissinoming,-75.0572438063086,40.018998588896,"c(-75.0572438063086, 40.018998588896)"
4625 HIGBEE ST,0.03,0.04,0.07,0.1,0.16,0.14,0.19,0.27,0.35,0.46,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0585709431067,40.018583951738,"c(-75.0585709431067, 40.018583951738)"
2237 LARUE ST,0.04,0.05,0.08,0.13,0.19,0.1,0.15,0.21,0.29,0.38,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0656969475291,40.0104125979777,"c(-75.0656969475291, 40.0104125979777)"
2042 CARVER ST,0.05,0.08,0.12,0.17,0.25,0.1,0.14,0.2,0.27,0.36,0.23,0.25,0.28,0.32,0.35,Wissinoming,-75.0656170589246,40.0160382790039,"c(-75.0656170589246, 40.0160382790039)"
5904 COTTAGE ST,0.03,0.05,0.08,0.12,0.18,0.16,0.23,0.31,0.41,0.51,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0631091601401,40.0204395246406,"c(-75.0631091601401, 40.0204395246406)"
4805 COMLY ST,0.03,0.05,0.07,0.11,0.16,0.22,0.3,0.39,0.49,0.6,0.46,0.49,0.53,0.57,0.61,Wissinoming,-75.0580754233078,40.0165024398205,"c(-75.0580754233078, 40.0165024398205)"
4322 BENNER ST,0.03,0.05,0.08,0.12,0.18,0.16,0.23,0.31,0.41,0.51,0.2,0.22,0.25,0.28,0.31,Wissinoming,-75.0608975866781,40.0217993201814,"c(-75.0608975866781, 40.0217993201814)"
6126 COTTAGE ST,0.05,0.07,0.11,0.17,0.24,0.13,0.19,0.26,0.35,0.45,0.22,0.25,0.28,0.31,0.35,Wissinoming,-75.0595935125732,40.0222598176301,"c(-75.0595935125732, 40.0222598176301)"
4518 HOWELL ST,0.06,0.09,0.13,0.2,0.28,0.11,0.16,0.22,0.3,0.39,0.23,0.25,0.28,0.31,0.35,Wissinoming,-75.0622939770905,40.01840416535,"c(-75.0622939770905, 40.01840416535)"
2070 FRALEY ST,0.03,0.05,0.08,0.12,0.18,0.11,0.16,0.23,0.31,0.4,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0664248614534,40.0148776671322,"c(-75.0664248614534, 40.0148776671322)"
6340 JACKSON ST,0.03,0.05,0.08,0.12,0.17,0.14,0.2,0.27,0.36,0.46,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0544718394849,40.0234073117876,"c(-75.0544718394849, 40.0234073117876)"
6137 MULBERRY ST,0.04,0.06,0.08,0.13,0.19,0.14,0.2,0.27,0.36,0.46,0.34,0.37,0.41,0.44,0.48,Wissinoming,-75.0624156535765,40.0259007632447,"c(-75.0624156535765, 40.0259007632447)"
4316 BENNER ST,0.05,0.08,0.12,0.17,0.25,0.14,0.2,0.28,0.37,0.47,0.34,0.37,0.41,0.44,0.48,Wissinoming,-75.0610208979535,40.0219391992068,"c(-75.0610208979535, 40.0219391992068)"
4314 BENNER ST,0.05,0.07,0.11,0.17,0.24,0.14,0.2,0.28,0.37,0.47,0.34,0.37,0.41,0.44,0.48,Wissinoming,-75.0611208973654,40.0220536489419,"c(-75.0611208973654, 40.0220536489419)"
4215 STIRLING ST,0.03,0.04,0.06,0.1,0.15,0.14,0.19,0.27,0.36,0.46,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0571182574552,40.0258187202039,"c(-75.0571182574552, 40.0258187202039)"
6222 ALGARD ST,0.05,0.07,0.11,0.16,0.24,0.15,0.22,0.3,0.39,0.49,0.36,0.4,0.43,0.47,0.51,Wissinoming,-75.0582983389979,40.0236500548638,"c(-75.0582983389979, 40.0236500548638)"
6255 MARSDEN ST,0.06,0.09,0.14,0.2,0.28,0.08,0.12,0.18,0.24,0.33,0.34,0.37,0.41,0.44,0.48,Wissinoming,-75.0543240431362,40.0207974494554,"c(-75.0543240431362, 40.0207974494554)"
6360 ALGARD ST,0.05,0.07,0.11,0.17,0.24,0.11,0.16,0.23,0.31,0.41,0.23,0.25,0.28,0.31,0.35,Wissinoming,-75.0554630749397,40.0251415423902,"c(-75.0554630749397, 40.0251415423902)"
5916 HEGERMAN ST,0.03,0.04,0.06,0.09,0.14,0.14,0.2,0.27,0.36,0.46,0.2,0.22,0.25,0.28,0.31,Wissinoming,-75.0594034445212,40.0164322372345,"c(-75.0594034445212, 40.0164322372345)"
5228 GLENLOCH ST,0.04,0.06,0.1,0.15,0.21,0.09,0.13,0.18,0.25,0.34,0.22,0.25,0.28,0.31,0.35,Wissinoming,-75.0704782584532,40.0155985994597,"c(-75.0704782584532, 40.0155985994597)"
5432 TORRESDALE AVE,0.05,0.08,0.12,0.17,0.25,0.16,0.22,0.3,0.39,0.5,0.34,0.37,0.41,0.44,0.48,Wissinoming,-75.0661618012001,40.0143997641459,"c(-75.0661618012001, 40.0143997641459)"
5400 VALLEY ST,0.05,0.08,0.13,0.19,0.26,0.09,0.14,0.19,0.27,0.36,0.34,0.37,0.41,0.44,0.48,Wissinoming,-75.0699026917808,40.0204590254731,"c(-75.0699026917808, 40.0204590254731)"
4818 VAN KIRK ST,0.04,0.06,0.08,0.13,0.19,0.14,0.19,0.27,0.36,0.46,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0608535272328,40.014848178311,"c(-75.0608535272328, 40.014848178311)"
4155 ROBBINS ST,0.04,0.06,0.09,0.13,0.19,0.18,0.26,0.34,0.44,0.55,0.34,0.37,0.41,0.44,0.48,Wissinoming,-75.0581141068674,40.0258848959263,"c(-75.0581141068674, 40.0258848959263)"
5438 VALLEY ST,0.03,0.05,0.08,0.12,0.17,0.15,0.22,0.3,0.39,0.49,0.46,0.49,0.53,0.57,0.61,Wissinoming,-75.0689768412938,40.0209375398003,"c(-75.0689768412938, 40.0209375398003)"
5361 CHARLES ST,0.03,0.04,0.07,0.1,0.15,0.11,0.16,0.23,0.31,0.4,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0717562858862,40.0201791446577,"c(-75.0717562858862, 40.0201791446577)"
2090 SCATTERGOOD ST,0.03,0.05,0.08,0.12,0.18,0.11,0.16,0.22,0.3,0.39,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0700083722532,40.0136128113703,"c(-75.0700083722532, 40.0136128113703)"
5249 DITMAN ST,0.04,0.05,0.08,0.13,0.19,0.11,0.16,0.23,0.31,0.41,0.2,0.22,0.25,0.28,0.31,Wissinoming,-75.068994841037,40.0146014437214,"c(-75.068994841037, 40.0146014437214)"
4124 STIRLING ST,0.04,0.06,0.09,0.14,0.21,0.12,0.17,0.24,0.32,0.42,0.23,0.25,0.28,0.32,0.35,Wissinoming,-75.0584672457902,40.0266968848951,"c(-75.0584672457902, 40.0266968848951)"
2143 CARVER ST,0.05,0.08,0.12,0.18,0.25,0.09,0.13,0.18,0.25,0.34,0.34,0.37,0.41,0.44,0.48,Wissinoming,-75.0635905391366,40.0142639454663,"c(-75.0635905391366, 40.0142639454663)"
6012 TULIP ST,0.05,0.08,0.12,0.17,0.25,0.11,0.16,0.22,0.31,0.4,0.34,0.37,0.41,0.44,0.48,Wissinoming,-75.0572497527235,40.0159995603916,"c(-75.0572497527235, 40.0159995603916)"
5717 VANDIKE ST,0.04,0.06,0.09,0.14,0.2,0.14,0.19,0.27,0.36,0.46,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0622315036066,40.0151530098523,"c(-75.0622315036066, 40.0151530098523)"
6151 MULBERRY ST,0.02,0.04,0.06,0.09,0.13,0.17,0.24,0.32,0.42,0.52,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0620558273845,40.026150215161,"c(-75.0620558273845, 40.026150215161)"
6213 TACKAWANNA ST,0.03,0.05,0.08,0.12,0.18,0.12,0.17,0.23,0.32,0.41,0.34,0.37,0.41,0.44,0.48,Wissinoming,-75.0602083360124,40.0253176885273,"c(-75.0602083360124, 40.0253176885273)"
6116 MARSDEN ST,0.05,0.08,0.12,0.17,0.25,0.12,0.17,0.24,0.32,0.42,0.23,0.25,0.28,0.32,0.35,Wissinoming,-75.0575909693749,40.0195162112515,"c(-75.0575909693749, 40.0195162112515)"
6143 COTTAGE ST,0.03,0.05,0.08,0.12,0.18,0.17,0.24,0.32,0.42,0.52,0.2,0.22,0.25,0.28,0.31,Wissinoming,-75.0587631331533,40.0221926813627,"c(-75.0587631331533, 40.0221926813627)"
4145 BARNETT ST,0.05,0.07,0.11,0.16,0.23,0.11,0.16,0.22,0.3,0.39,0.34,0.37,0.41,0.44,0.48,Wissinoming,-75.0571237719056,40.0268860653227,"c(-75.0571237719056, 40.0268860653227)"
6256 ERDRICK ST,0.03,0.05,0.08,0.12,0.18,0.11,0.16,0.22,0.3,0.39,0.34,0.37,0.41,0.44,0.48,Wissinoming,-75.0589751423853,40.0255842741395,"c(-75.0589751423853, 40.0255842741395)"
6229 MONTAGUE ST,0.03,0.04,0.07,0.1,0.15,0.14,0.19,0.27,0.36,0.46,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0588563384397,40.024423662936,"c(-75.0588563384397, 40.024423662936)"
6239 GILLESPIE ST,0.05,0.08,0.11,0.17,0.24,0.12,0.17,0.23,0.32,0.41,0.22,0.25,0.28,0.31,0.35,Wissinoming,-75.056733269091,40.0225434420665,"c(-75.056733269091, 40.0225434420665)"
6202 CHARLES ST,0.03,0.05,0.08,0.12,0.17,0.11,0.16,0.23,0.31,0.4,0.22,0.25,0.28,0.31,0.35,Wissinoming,-75.0612636446782,40.0262014578766,"c(-75.0612636446782, 40.0262014578766)"
4805 ALCOTT ST,0.05,0.08,0.13,0.19,0.27,0.11,0.16,0.22,0.31,0.4,0.34,0.37,0.41,0.44,0.48,Wissinoming,-75.0612717651856,40.0149776617063,"c(-75.0612717651856, 40.0149776617063)"
4801 HOWELL ST,0.04,0.06,0.1,0.15,0.21,0.11,0.16,0.22,0.3,0.4,0.23,0.25,0.28,0.31,0.35,Wissinoming,-75.0595446279503,40.0159639388107,"c(-75.0595446279503, 40.0159639388107)"
4157 STIRLING ST,0.04,0.06,0.1,0.14,0.21,0.11,0.16,0.22,0.3,0.4,0.34,0.37,0.41,0.44,0.48,Wissinoming,-75.0575853409088,40.026345961952,"c(-75.0575853409088, 40.026345961952)"
1718 KENNEDY ST,0.04,0.07,0.1,0.15,0.22,0.19,0.26,0.35,0.45,0.56,0.46,0.49,0.53,0.57,0.61,Wissinoming,-75.0717386332311,40.0213191911489,"c(-75.0717386332311, 40.0213191911489)"
5209 GLENLOCH ST,0.03,0.05,0.07,0.11,0.16,0.11,0.16,0.22,0.3,0.4,0.2,0.22,0.25,0.28,0.31,Wissinoming,-75.0708548634893,40.0152274674454,"c(-75.0708548634893, 40.0152274674454)"
6379 MARSDEN ST,0.04,0.07,0.1,0.15,0.22,0.1,0.15,0.21,0.29,0.38,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0523337636545,40.0218489027587,"c(-75.0523337636545, 40.0218489027587)"
5724 JACKSON ST,0.03,0.05,0.07,0.11,0.17,0.16,0.23,0.31,0.4,0.51,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0646935913641,40.0181117790721,"c(-75.0646935913641, 40.0181117790721)"
5454 HAWTHORNE ST,0.04,0.06,0.1,0.14,0.21,0.2,0.27,0.36,0.46,0.57,0.46,0.49,0.53,0.57,0.61,Wissinoming,-75.0704971671794,40.0227852231841,"c(-75.0704971671794, 40.0227852231841)"
4061 CRESTON ST,0.03,0.05,0.07,0.11,0.16,0.16,0.23,0.31,0.4,0.51,0.2,0.22,0.25,0.28,0.31,Wissinoming,-75.0645585286479,40.0249333808119,"c(-75.0645585286479, 40.0249333808119)"
6244 COTTAGE ST,0.05,0.08,0.12,0.17,0.25,0.15,0.22,0.3,0.39,0.49,0.36,0.4,0.43,0.47,0.51,Wissinoming,-75.0573095811434,40.0234346347011,"c(-75.0573095811434, 40.0234346347011)"
2009 BRIDGE ST,0.04,0.06,0.09,0.14,0.2,0.09,0.14,0.19,0.27,0.36,0.23,0.25,0.28,0.31,0.35,Wissinoming,-75.0710915785612,40.0157071211017,"c(-75.0710915785612, 40.0157071211017)"
6310 DITMAN ST,0.04,0.07,0.1,0.16,0.23,0.1,0.15,0.21,0.29,0.39,0.2,0.22,0.25,0.28,0.31,Wissinoming,-75.054462900998,40.0219200950529,"c(-75.054462900998, 40.0219200950529)"
4524 COMLY ST,0.03,0.05,0.07,0.11,0.16,0.14,0.2,0.28,0.37,0.47,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0607466931897,40.0188886084103,"c(-75.0607466931897, 40.0188886084103)"
4820 ROSALIE ST,0.04,0.06,0.09,0.14,0.21,0.14,0.2,0.27,0.36,0.46,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0618084330239,40.0143006782961,"c(-75.0618084330239, 40.0143006782961)"
4518 HALE ST,0.04,0.07,0.1,0.15,0.22,0.11,0.16,0.22,0.3,0.39,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0559787426374,40.0217711329009,"c(-75.0559787426374, 40.0217711329009)"
5812 JACKSON ST,0.04,0.06,0.09,0.13,0.19,0.16,0.23,0.31,0.41,0.51,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0634305154531,40.0187250919422,"c(-75.0634305154531, 40.0187250919422)"
5239 BURTON ST,0.03,0.05,0.08,0.12,0.17,0.11,0.16,0.22,0.3,0.39,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0699637963779,40.0149380828687,"c(-75.0699637963779, 40.0149380828687)"
1775 BRIDGE ST,0.04,0.06,0.09,0.13,0.19,0.1,0.15,0.21,0.29,0.38,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0734708886037,40.0200680953567,"c(-75.0734708886037, 40.0200680953567)"
6123 HAWTHORNE ST,0.04,0.06,0.1,0.14,0.21,0.13,0.19,0.26,0.35,0.45,0.34,0.37,0.41,0.44,0.48,Wissinoming,-75.0634643152476,40.0263226714588,"c(-75.0634643152476, 40.0263226714588)"
4158 BARNETT ST,0.04,0.07,0.1,0.15,0.22,0.11,0.16,0.22,0.3,0.39,0.23,0.25,0.28,0.31,0.35,Wissinoming,-75.0573132970747,40.0264433749779,"c(-75.0573132970747, 40.0264433749779)"
6030 WALKER ST,0.03,0.05,0.08,0.12,0.18,0.16,0.23,0.31,0.4,0.51,0.3,0.33,0.37,0.4,0.44,Wissinoming,-75.0616888943902,40.0226530994656,"c(-75.0616888943902, 40.0226530994656)"
