address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
28 E CLAPIER ST,0.04,0.07,0.1,0.16,0.23,0.05,0.07,0.11,0.16,0.22,0.34,0.37,0.41,0.44,0.48,Wister,-75.1623108962421,40.0294820022717,"c(-75.1623108962421, 40.0294820022717)"
362 E WISTER ST,0.12,0.17,0.25,0.34,0.45,0.14,0.2,0.27,0.37,0.47,0.3,0.34,0.37,0.41,0.44,Wister,-75.1604154731059,40.0340752589606,"c(-75.1604154731059, 40.0340752589606)"
53 E BRINGHURST ST,0.04,0.06,0.09,0.13,0.19,0.09,0.13,0.18,0.26,0.34,0.2,0.22,0.25,0.28,0.31,Wister,-75.1670463965162,40.0325690030129,"c(-75.1670463965162, 40.0325690030129)"
238 E QUEEN LN,0.05,0.08,0.12,0.17,0.25,0.07,0.1,0.15,0.21,0.28,0.34,0.37,0.41,0.44,0.48,Wister,-75.1653398490584,40.0347970807058,"c(-75.1653398490584, 40.0347970807058)"
52 COLLOM ST,0.06,0.09,0.13,0.2,0.28,0.05,0.07,0.1,0.15,0.21,0.34,0.37,0.41,0.44,0.48,Wister,-75.1650168382713,40.0314060896454,"c(-75.1650168382713, 40.0314060896454)"
78 E SEYMOUR ST,0.05,0.07,0.11,0.17,0.24,0.07,0.1,0.15,0.21,0.28,0.22,0.25,0.28,0.31,0.35,Wister,-75.1622289087502,40.0305214662264,"c(-75.1622289087502, 40.0305214662264)"
4952 BAYNTON ST,0.04,0.06,0.09,0.14,0.2,0.09,0.13,0.18,0.26,0.34,0.3,0.33,0.37,0.4,0.44,Wister,-75.1605605504426,40.0316585790866,"c(-75.1605605504426, 40.0316585790866)"
346 SHEDAKER ST,0.05,0.08,0.12,0.18,0.26,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Wister,-75.1583443380646,40.0322916577844,"c(-75.1583443380646, 40.0322916577844)"
5012 WAKEFIELD ST,0.05,0.08,0.12,0.18,0.25,0.07,0.1,0.15,0.21,0.28,0.22,0.25,0.28,0.31,0.35,Wister,-75.1622099935118,40.0313112863629,"c(-75.1622099935118, 40.0313112863629)"
33 E BRINGHURST ST,0.04,0.06,0.09,0.14,0.2,0.09,0.13,0.18,0.25,0.34,0.2,0.22,0.25,0.28,0.31,Wister,-75.1672732107259,40.0321594964356,"c(-75.1672732107259, 40.0321594964356)"
5115 LENA ST,0.22,0.31,0.41,0.52,0.63,0.18,0.25,0.34,0.44,0.54,0.62,0.66,0.69,0.72,0.75,Wister,-75.1638907649857,40.0315197291294,"c(-75.1638907649857, 40.0315197291294)"
313 E WISTER ST,0.06,0.09,0.13,0.19,0.28,0.07,0.1,0.15,0.21,0.28,0.34,0.37,0.41,0.44,0.48,Wister,-75.1620006201598,40.033237875659,"c(-75.1620006201598, 40.033237875659)"
4925 RUBICAM ST,0.04,0.06,0.09,0.14,0.2,0.09,0.13,0.18,0.25,0.34,0.2,0.22,0.25,0.28,0.31,Wister,-75.157951754445,40.0331856959947,"c(-75.157951754445, 40.0331856959947)"
41 E GARFIELD ST,0.03,0.05,0.08,0.12,0.18,0.09,0.13,0.18,0.25,0.34,0.3,0.33,0.37,0.4,0.44,Wister,-75.1636695373898,40.030335913082,"c(-75.1636695373898, 40.030335913082)"
5132 SHELDON ST,0.06,0.09,0.13,0.19,0.27,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Wister,-75.161835396379,40.0341673906979,"c(-75.161835396379, 40.0341673906979)"
4937 WAKEFIELD ST,0.06,0.09,0.14,0.2,0.28,0.08,0.11,0.16,0.22,0.3,0.23,0.25,0.28,0.31,0.35,Wister,-75.160584423481,40.0309790007226,"c(-75.160584423481, 40.0309790007226)"
4947 RUBICAM ST,0.06,0.09,0.13,0.2,0.28,0.07,0.1,0.15,0.21,0.29,0.34,0.37,0.41,0.44,0.48,Wister,-75.158880601136,40.0337446981536,"c(-75.158880601136, 40.0337446981536)"
328 ELWOOD ST,0.04,0.05,0.08,0.13,0.19,0.09,0.13,0.18,0.25,0.34,0.2,0.22,0.25,0.28,0.31,Wister,-75.1581206342451,40.0318377524587,"c(-75.1581206342451, 40.0318377524587)"
412 E ASHMEAD ST,0.05,0.08,0.13,0.19,0.26,0.07,0.1,0.15,0.21,0.28,0.22,0.25,0.28,0.31,0.35,Wister,-75.1622914382662,40.0355032439184,"c(-75.1622914382662, 40.0355032439184)"
11 E CLAPIER ST,0.05,0.07,0.11,0.16,0.23,0.07,0.11,0.15,0.22,0.29,0.23,0.25,0.28,0.31,0.35,Wister,-75.1631309885496,40.0293600392637,"c(-75.1631309885496, 40.0293600392637)"
285 E QUEEN LN,0.03,0.05,0.08,0.12,0.18,0.09,0.12,0.18,0.25,0.33,0.2,0.22,0.25,0.28,0.31,Wister,-75.1647109334185,40.0359562130277,"c(-75.1647109334185, 40.0359562130277)"
