address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
4202 CHESTER AVE,0.03,0.05,0.07,0.11,0.16,0.26,0.35,0.45,0.55,0.65,0.3,0.34,0.37,0.41,0.44,Woodland Terrace,-75.2073417845328,39.9481102178553,"c(-75.2073417845328, 39.9481102178553)"
4200 CHESTER AVE,0,0.01,0.01,0.02,0.03,0.22,0.3,0.4,0.5,0.6,0.41,0.45,0.49,0.53,0.56,Woodland Terrace,-75.2072453393256,39.9481132598557,"c(-75.2072453393256, 39.9481132598557)"
4206 CHESTER AVE,0.04,0.07,0.1,0.16,0.23,0.25,0.34,0.44,0.54,0.64,0.23,0.26,0.29,0.32,0.35,Woodland Terrace,-75.2075259472105,39.9481034283951,"c(-75.2075259472105, 39.9481034283951)"
525 S 42ND ST,0.05,0.08,0.12,0.18,0.25,0.12,0.17,0.24,0.33,0.43,0.34,0.37,0.41,0.45,0.48,Woodland Terrace,-75.2066627528612,39.9488391527188,"c(-75.2066627528612, 39.9488391527188)"
506 WOODLAND TER,0.04,0.07,0.1,0.15,0.22,0.09,0.13,0.18,0.25,0.34,0.23,0.25,0.28,0.32,0.35,Woodland Terrace,-75.2048700691369,39.9494528429115,"c(-75.2048700691369, 39.9494528429115)"
626 S 42ND ST,0.03,0.05,0.07,0.11,0.16,0.17,0.24,0.32,0.42,0.53,0.2,0.22,0.25,0.28,0.31,Woodland Terrace,-75.2073230265583,39.9476481305789,"c(-75.2073230265583, 39.9476481305789)"
516-26 S 42ND ST,0.01,0.02,0.04,0.05,0.08,0.22,0.3,0.39,0.5,0.6,0.42,0.46,0.5,0.54,0.58,Woodland Terrace,-75.2073386196996,39.948815206341,"c(-75.2073386196996, 39.948815206341)"
4249 REGENT SQ,0.03,0.04,0.07,0.1,0.15,0.3,0.39,0.49,0.6,0.69,0.33,0.36,0.4,0.43,0.47,Woodland Terrace,-75.2086426831385,39.9476932319778,"c(-75.2086426831385, 39.9476932319778)"
4112 BALTIMORE AVE,0.05,0.07,0.11,0.16,0.24,0.12,0.17,0.24,0.32,0.42,0.34,0.37,0.41,0.44,0.48,Woodland Terrace,-75.2063835682524,39.9496109988616,"c(-75.2063835682524, 39.9496109988616)"
4104 BALTIMORE AVE,0.05,0.07,0.11,0.16,0.23,0.12,0.17,0.24,0.32,0.42,0.34,0.37,0.41,0.44,0.48,Woodland Terrace,-75.2060585854304,39.9496221726726,"c(-75.2060585854304, 39.9496221726726)"
624 S 42ND ST,0.04,0.06,0.09,0.14,0.2,0.17,0.24,0.32,0.42,0.52,0.36,0.4,0.44,0.47,0.51,Woodland Terrace,-75.2073260109251,39.9477029930609,"c(-75.2073260109251, 39.9477029930609)"
513 S 41ST ST,0.05,0.08,0.12,0.18,0.25,0.09,0.14,0.19,0.27,0.36,0.34,0.37,0.41,0.45,0.48,Woodland Terrace,-75.2053842267303,39.9492752171145,"c(-75.2053842267303, 39.9492752171145)"
