address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
2143 MELVIN ST,0.03,0.05,0.08,0.12,0.18,0.11,0.16,0.23,0.31,0.41,0.2,0.22,0.25,0.28,0.31,Wynnefield,-75.2399864062335,39.9864676614579,"c(-75.2399864062335, 39.9864676614579)"
2109 N REDFIELD ST,0.04,0.05,0.08,0.13,0.18,0.11,0.16,0.22,0.3,0.4,0.3,0.33,0.37,0.4,0.44,Wynnefield,-75.2412084750739,39.9856339523515,"c(-75.2412084750739, 39.9856339523515)"
5349 TURNER ST,0.04,0.06,0.09,0.13,0.19,0.14,0.2,0.28,0.37,0.47,0.3,0.33,0.37,0.4,0.44,Wynnefield,-75.2303608543245,39.9821718602629,"c(-75.2303608543245, 39.9821718602629)"
5327 W OXFORD ST,0.05,0.08,0.12,0.18,0.26,0.12,0.17,0.23,0.32,0.41,0.23,0.25,0.28,0.31,0.35,Wynnefield,-75.2292645963218,39.9821013724734,"c(-75.2292645963218, 39.9821013724734)"
5383 MORSE ST,0.03,0.05,0.08,0.12,0.18,0.14,0.2,0.28,0.37,0.48,0.3,0.33,0.37,0.4,0.44,Wynnefield,-75.2309384355211,39.9850849868667,"c(-75.2309384355211, 39.9850849868667)"
1717 N RUBY ST,0.03,0.05,0.08,0.12,0.18,0.22,0.3,0.39,0.5,0.6,0.33,0.36,0.4,0.43,0.47,Wynnefield,-75.2297221458803,39.9833526343182,"c(-75.2297221458803, 39.9833526343182)"
5437 UPLAND WAY,0.03,0.05,0.07,0.11,0.16,0.11,0.16,0.23,0.31,0.4,0.2,0.22,0.25,0.28,0.31,Wynnefield,-75.2318976186973,39.9830993978853,"c(-75.2318976186973, 39.9830993978853)"
1713 N 53RD ST,0.05,0.08,0.12,0.18,0.26,0.11,0.16,0.23,0.31,0.4,0.23,0.25,0.28,0.31,0.35,Wynnefield,-75.227781110485,39.9808220767338,"c(-75.227781110485, 39.9808220767338)"
5351 DIAMOND ST,0.03,0.05,0.07,0.11,0.16,0.14,0.2,0.27,0.36,0.47,0.2,0.22,0.25,0.28,0.31,Wynnefield,-75.2320633125487,39.988527631482,"c(-75.2320633125487, 39.988527631482)"
1757 N PEACH ST,0.05,0.08,0.12,0.17,0.25,0.12,0.17,0.23,0.32,0.41,0.23,0.25,0.28,0.31,0.35,Wynnefield,-75.2284755114456,39.9843240289928,"c(-75.2284755114456, 39.9843240289928)"
5351 W MONTGOMERY AVE,0.05,0.08,0.12,0.17,0.25,0.12,0.17,0.23,0.32,0.41,0.23,0.25,0.28,0.31,0.35,Wynnefield,-75.2298330848342,39.9846532048055,"c(-75.2298330848342, 39.9846532048055)"
5320 LEBANON AVE,0.05,0.07,0.11,0.16,0.24,0.11,0.16,0.23,0.31,0.4,0.34,0.37,0.41,0.44,0.48,Wynnefield,-75.2305223085701,39.98753890039,"c(-75.2305223085701, 39.98753890039)"
