address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
1220 VALLEY FORGE PL,0.04,0.06,0.09,0.13,0.19,0.13,0.19,0.26,0.35,0.45,0.3,0.33,0.37,0.41,0.44,Yorktown,-75.1563794870654,39.9719894603508,"c(-75.1563794870654, 39.9719894603508)"
1021 JEFFERSON ST,0.05,0.07,0.11,0.16,0.23,0.14,0.2,0.27,0.36,0.46,0.5,0.53,0.57,0.61,0.64,Yorktown,-75.1522302589356,39.9752162354122,"c(-75.1522302589356, 39.9752162354122)"
1124 MASTER ST,0.05,0.07,0.11,0.16,0.23,0.16,0.23,0.31,0.4,0.51,0.5,0.53,0.57,0.61,0.64,Yorktown,-75.154427870197,39.9737124031168,"c(-75.154427870197, 39.9737124031168)"
1527 N 13TH ST,0.05,0.07,0.11,0.16,0.24,0.15,0.21,0.28,0.37,0.48,0.5,0.53,0.57,0.61,0.65,Yorktown,-75.1557509182062,39.9763552664421,"c(-75.1557509182062, 39.9763552664421)"
1111 MASTER ST,0.05,0.07,0.11,0.16,0.23,0.16,0.22,0.3,0.4,0.5,0.5,0.53,0.57,0.61,0.64,Yorktown,-75.1539165884353,39.9740478104729,"c(-75.1539165884353, 39.9740478104729)"
1433 GUILFORD PL,0.03,0.04,0.07,0.1,0.15,0.09,0.13,0.19,0.26,0.35,0.3,0.33,0.37,0.4,0.44,Yorktown,-75.1535258523063,39.9747959465232,"c(-75.1535258523063, 39.9747959465232)"
1409 BETSY ROSS PL,0.05,0.07,0.11,0.16,0.23,0.1,0.15,0.21,0.28,0.38,0.23,0.25,0.28,0.31,0.35,Yorktown,-75.1552247075197,39.9744186121276,"c(-75.1552247075197, 39.9744186121276)"
1232 W THOMPSON ST,0.03,0.05,0.08,0.12,0.18,0.13,0.19,0.26,0.35,0.45,0.3,0.33,0.37,0.41,0.44,Yorktown,-75.1567854461064,39.9727114875016,"c(-75.1567854461064, 39.9727114875016)"
1225 W FLORA ST,0.04,0.06,0.09,0.13,0.19,0.13,0.18,0.26,0.34,0.44,0.2,0.22,0.25,0.28,0.31,Yorktown,-75.1566970538463,39.9718733055739,"c(-75.1566970538463, 39.9718733055739)"
1538 N JEFFERSON LN,0.03,0.05,0.07,0.11,0.16,0.12,0.18,0.25,0.33,0.43,0.2,0.22,0.25,0.28,0.31,Yorktown,-75.1524747861005,39.9759595477374,"c(-75.1524747861005, 39.9759595477374)"
1032 W OXFORD ST,0.07,0.11,0.17,0.24,0.33,0.21,0.29,0.38,0.49,0.59,0.5,0.53,0.57,0.61,0.65,Yorktown,-75.1523137170174,39.9763363534814,"c(-75.1523137170174, 39.9763363534814)"
1306 N 12TH ST,0.04,0.06,0.1,0.15,0.21,0.16,0.23,0.31,0.4,0.51,0.5,0.53,0.57,0.61,0.65,Yorktown,-75.155636790229,39.9730496499364,"c(-75.155636790229, 39.9730496499364)"
1513 DONDILL PL,0.03,0.05,0.07,0.11,0.16,0.14,0.2,0.28,0.37,0.47,0.2,0.22,0.25,0.28,0.31,Yorktown,-75.1553522632489,39.9758547434494,"c(-75.1553522632489, 39.9758547434494)"
1238 N 12TH ST,0.04,0.06,0.08,0.13,0.19,0.1,0.15,0.21,0.29,0.38,0.3,0.33,0.37,0.4,0.44,Yorktown,-75.1557923689206,39.9723884942668,"c(-75.1557923689206, 39.9723884942668)"
1534 N 13TH ST,0.03,0.05,0.07,0.11,0.16,0.18,0.25,0.34,0.43,0.54,0.33,0.36,0.4,0.43,0.47,Yorktown,-75.1565005476189,39.9766479708804,"c(-75.1565005476189, 39.9766479708804)"
1330 N 11TH ST,0.05,0.07,0.11,0.16,0.23,0.11,0.16,0.23,0.31,0.41,0.23,0.25,0.28,0.32,0.35,Yorktown,-75.153926586415,39.9734901636927,"c(-75.153926586415, 39.9734901636927)"
1324 KINGS PL,0.03,0.05,0.07,0.11,0.16,0.2,0.28,0.37,0.47,0.58,0.33,0.36,0.4,0.43,0.47,Yorktown,-75.1549221800291,39.9734691047258,"c(-75.1549221800291, 39.9734691047258)"
1421 N 13TH ST,0.04,0.07,0.1,0.16,0.22,0.11,0.16,0.22,0.3,0.39,0.23,0.25,0.28,0.32,0.35,Yorktown,-75.1560795823091,39.9748414063224,"c(-75.1560795823091, 39.9748414063224)"
1223 W OXFORD ST,0.05,0.07,0.11,0.16,0.23,0.1,0.15,0.21,0.28,0.38,0.23,0.25,0.28,0.32,0.35,Yorktown,-75.1553686650901,39.9771102669635,"c(-75.1553686650901, 39.9771102669635)"
1248 N 12TH ST,0.05,0.08,0.12,0.18,0.25,0.08,0.12,0.17,0.24,0.33,0.22,0.25,0.28,0.31,0.35,Yorktown,-75.1557428997492,39.9726327285403,"c(-75.1557428997492, 39.9726327285403)"
1231 JEFFERSON ST,0.05,0.07,0.11,0.16,0.24,0.14,0.2,0.28,0.37,0.47,0.36,0.4,0.43,0.47,0.51,Yorktown,-75.1560483485901,39.9757350193053,"c(-75.1560483485901, 39.9757350193053)"
1519 DONDILL PL,0.04,0.07,0.1,0.15,0.22,0.11,0.16,0.23,0.31,0.41,0.23,0.25,0.28,0.32,0.35,Yorktown,-75.1553173098951,39.9760164157379,"c(-75.1553173098951, 39.9760164157379)"
1123 JEFFERSON ST,0.04,0.06,0.1,0.15,0.21,0.12,0.17,0.24,0.33,0.42,0.23,0.25,0.28,0.32,0.35,Yorktown,-75.1541505174941,39.9754873710888,"c(-75.1541505174941, 39.9754873710888)"
1332 KINGS PL,0.04,0.07,0.1,0.16,0.23,0.17,0.23,0.31,0.41,0.51,0.5,0.53,0.57,0.61,0.65,Yorktown,-75.1548801026032,39.9736655176284,"c(-75.1548801026032, 39.9736655176284)"
1628 NEWPORT PL,0.03,0.05,0.07,0.11,0.16,0.14,0.2,0.28,0.37,0.47,0.2,0.22,0.25,0.28,0.31,Yorktown,-75.1524451747244,39.9774315481679,"c(-75.1524451747244, 39.9774315481679)"
1125 W THOMPSON ST,0.03,0.04,0.07,0.1,0.15,0.2,0.28,0.37,0.47,0.58,0.33,0.36,0.4,0.43,0.47,Yorktown,-75.1548152424188,39.9728538143931,"c(-75.1548152424188, 39.9728538143931)"
1030 CECIL B MOORE AVE,0.04,0.07,0.1,0.15,0.22,0.12,0.17,0.24,0.32,0.42,0.23,0.25,0.28,0.32,0.35,Yorktown,-75.1523889324732,39.9776261935911,"c(-75.1523889324732, 39.9776261935911)"
1214 JEFFERSON ST,0.05,0.07,0.11,0.16,0.23,0.14,0.2,0.27,0.37,0.47,0.5,0.53,0.57,0.61,0.64,Yorktown,-75.15539788873,39.9752512566711,"c(-75.15539788873, 39.9752512566711)"
1134 CUSTIS PL,0.04,0.06,0.09,0.13,0.19,0.17,0.24,0.32,0.42,0.53,0.46,0.49,0.53,0.57,0.61,Yorktown,-75.1553582988559,39.9721018773207,"c(-75.1553582988559, 39.9721018773207)"
1537 N 11TH ST,0.04,0.07,0.1,0.15,0.22,0.12,0.17,0.23,0.32,0.41,0.23,0.25,0.28,0.31,0.35,Yorktown,-75.1528656949524,39.9760539571705,"c(-75.1528656949524, 39.9760539571705)"
1244 N 12TH ST,0.04,0.05,0.08,0.13,0.19,0.17,0.24,0.32,0.42,0.52,0.46,0.49,0.53,0.57,0.61,Yorktown,-75.1557632518686,39.9725351650866,"c(-75.1557632518686, 39.9725351650866)"
1021 W OXFORD ST,0.05,0.07,0.11,0.16,0.23,0.14,0.2,0.27,0.36,0.46,0.5,0.53,0.57,0.61,0.65,Yorktown,-75.1522527850247,39.9766995039953,"c(-75.1522527850247, 39.9766995039953)"
1219 W OXFORD ST,0.03,0.05,0.07,0.11,0.16,0.13,0.18,0.25,0.34,0.44,0.2,0.22,0.25,0.28,0.31,Yorktown,-75.1552191185744,39.9770908979621,"c(-75.1552191185744, 39.9770908979621)"
1118 MASTER ST,0.03,0.05,0.07,0.11,0.17,0.22,0.29,0.39,0.49,0.59,0.46,0.49,0.53,0.57,0.61,Yorktown,-75.1542401715124,39.9736871320871,"c(-75.1542401715124, 39.9736871320871)"
